O,N,B,S,P,Specific surface area,Smicro,Smeso,Pore volume,Vmicro,Vmeso,Rmic/mes,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,56.0
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,51.3
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,45.7
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,42.3
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,38.9
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,33.3
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,28.7
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,27.2
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.1,204.7
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.2,181.5
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.5,165.9
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,1.0,152.7
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,2.0,141.1
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,5.0,134.2
12.04,8.29,0.0,0.0,0.0,1530.9,764.4,,0.96,0.37,,0.627,2.50832843425436,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,10.0,128.6
11.54,0.0,0.0,0.0,0.0,502.711,,,0.115,,,,0.915038660383401,0.999,1M ZnSO4,Carbon cloth,,1.6,0.5,16.6666666666667
7.08,0.0,0.0,0.0,0.0,898.168,,,0.19,,,,0.846166864105602,0.9995,1M ZnSO4,Carbon cloth,,1.6,0.5,51.5555555555556
7.08,0.0,0.0,0.0,0.0,898.168,,,0.19,,,,0.846166864105602,0.9995,1M ZnSO4,Carbon cloth,,1.6,0.7,45.1111111111111
7.08,0.0,0.0,0.0,0.0,898.168,,,0.19,,,,0.846166864105602,0.9995,1M ZnSO4,Carbon cloth,,1.6,1.0,40.8888888888889
7.08,0.0,0.0,0.0,0.0,898.168,,,0.19,,,,0.846166864105602,0.9995,1M ZnSO4,Carbon cloth,,1.6,3.0,31.6666666666667
7.08,0.0,0.0,0.0,0.0,898.168,,,0.19,,,,0.846166864105602,0.9995,1M ZnSO4,Carbon cloth,,1.6,5.0,26.2222222222222
