O,N,B,S,P,Specific surface area,Pore volume,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity,micro%
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,30.2,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,26.7,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,24.7,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,21.6,0.621890547
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,177.7,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,148.5,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,135.5,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,127.9,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,122.1,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,117.0,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,107.5,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,102.9,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,91.3,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,85.5,0.576271186
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,108.2,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,96.6,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,86.9,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,82.0,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,78.7,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,75.2,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,72.0,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,67.1,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,60.5,0.533408198
9.3,0.0,0.0,0.0,0.0,1781.0,0.784,1.760808535,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,57.0,0.533408198
6.99,1.59,0.0,0.0,0.0,2465.9,1.29,2.092542277,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.05,108.5,0.527131783
