O,N,Specific surface area,Pore volume,Dap,ID/IG,Current density,Specific capacity,micro%
7.71,0.0,804.0,0.315,1.567164179,0.97,3.0,36.5,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,4.0,34.8,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,5.0,33.2,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,7.0,30.2,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,10.0,26.7,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,15.0,24.7,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,20.0,21.6,0.621890547
8.06,0.0,1770.0,0.721,1.629378531,1.1,0.5,177.7,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,1.0,148.5,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,2.0,135.5,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,3.0,127.9,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,4.0,122.1,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,5.0,117.0,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,7.0,107.5,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,10.0,102.9,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,15.0,91.3,0.576271186
8.06,0.0,1770.0,0.721,1.629378531,1.1,20.0,85.5,0.576271186
9.3,0.0,1781.0,0.784,1.760808535,1.18,0.5,108.2,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,1.0,96.6,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,2.0,86.9,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,3.0,82.0,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,4.0,78.7,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,5.0,75.2,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,7.0,72.0,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,10.0,67.1,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,15.0,60.5,0.533408198
9.3,0.0,1781.0,0.784,1.760808535,1.18,20.0,57.0,0.533408198
6.99,1.59,2465.9,1.29,2.092542277,0.912,0.05,108.5,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,0.1,85.9,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,0.2,73.1,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,0.3,68.7,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,0.5,65.0,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,1.0,60.8,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,2.0,55.3,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,3.0,52.7,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,5.0,49.2,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,10.0,44.5,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,15.0,41.6,0.527131783
6.99,1.59,2465.9,1.29,2.092542277,0.912,20.0,41.6,0.527131783
7.87,1.93,3082.0,1.42,1.842959117,1.72,0.2,142.7,0.464788732
7.87,1.93,3082.0,1.42,1.842959117,1.72,0.5,125.0,0.464788732
7.87,1.93,3082.0,1.42,1.842959117,1.72,1.0,109.6,0.464788732
7.87,1.93,3082.0,1.42,1.842959117,1.72,2.0,97.2,0.464788732
7.87,1.93,3082.0,1.42,1.842959117,1.72,3.0,89.9,0.464788732
7.87,1.93,3082.0,1.42,1.842959117,1.72,5.0,82.7,0.464788732
3.9,9.7,844.0,0.41,1.943127962,0.99,0.1,189.4,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,0.2,154.5,0.773696682
3.9,9.7,844.0,0.41,1.943127962,0.99,0.5,131.5,0.773696682
